learning_rate,epochs,hidden_layers,activation,optimizer,validation_mse,validation_rmse,validation_R-squared
0.001,200,"[10, 20, 10]",linear,mini-batch,[37.64396867],[6.13546809],[0.56103924]
0.001,200,"[10, 20, 10]",linear,sgd,[35.02141768],[5.91788963],[0.59162042]
0.001,200,"[10, 20, 10]",linear,batch,[39.97499491],[6.32257819],[0.53385748]
0.01,200,"[10, 20, 10]",linear,mini-batch,[50.985332],[7.14040139],[0.40546757]
0.01,200,"[10, 20, 10]",linear,batch,[36.19854864],[6.01652297],[0.57789407]
0.001,250,"[10, 20, 30, 20, 10]",linear,mini-batch,[37.34124222],[6.11074809],[0.56456929]
0.001,250,"[10, 20, 30, 20, 10]",linear,sgd,[37.9689685],[6.1618965],[0.55724946]
0.001,250,"[10, 20, 30, 20, 10]",linear,batch,[41.14617002],[6.41452804],[0.52020058]
0.01,250,"[10, 20, 30, 20, 10]",linear,mini-batch,[1.68700838e+26],[1.29884887e+13],[-1.96719558e+24]
0.01,250,"[10, 20, 30, 20, 10]",linear,batch,[336.77540544],[18.35144151],[-2.9270883]
0.001,250,"[10, 20, 10]",linear,mini-batch,[37.64396867],[6.13546809],[0.56103924]
0.001,250,"[10, 20, 10]",linear,sgd,[37.34977185],[6.11144597],[0.56446982]
0.001,250,"[10, 20, 10]",linear,batch,[39.92851305],[6.31890125],[0.5343995]
0.01,250,"[10, 20, 10]",linear,mini-batch,[50.985332],[7.14040139],[0.40546757]
0.01,250,"[10, 20, 10]",linear,batch,[36.12951201],[6.01078298],[0.57869909]
